id,firstName,lastName,email,phone,role,location
"512242b3-68f4-4ca2-af86-1f846fa71f7c","Admin","System","mugaboandre@gmail.com","0780000000","ADMIN","No Village"
"6213f504-add7-4d82-86a9-e2275711b25e","Jean","Damascene","jdamascene@umuganda.rw","0780100001","VILLAGE_CHEF","City of Kigali > Gasabo > Kimironko > Bibare"
"1e4d9dc8-491d-45c6-906c-1ce1bf1d63be","Alice","Uwamahoro","auwamahoro@umuganda.rw","0780100002","VILLAGE_CHEF","City of Kigali > Gasabo > Kimironko > Kibagabaga"
"6486a3d7-8eb7-4cf0-a2fa-c77421ae7098","Emmanuel","Nshimiyimana","enshimi@umuganda.rw","0780100003","VILLAGE_CHEF","City of Kigali > Gasabo > Remera > Nyabisindu"
"4f153242-96ff-471c-aeb7-df411804e4f6","Marie","Uwizeyimana","muwizey@umuganda.rw","0780100004","VILLAGE_CHEF","City of Kigali > Nyarugenge > Gitega > Nyamirambo"
"143f2ae4-d5cc-416e-bcff-8bc99dfbd321","Patrick","Habimana","phabimana@umuganda.rw","0780100005","VILLAGE_CHEF","Northern Province > Musanze > Muhoza > Cyabararika"
"2189fab6-5d56-400e-b335-017d0c42e1dd","Claudine","Mukamana","cmukamana@umuganda.rw","0780100006","VILLAGE_CHEF","Southern Province > Huye > Ngoma > Butare"
"e1970280-a348-490e-afd9-1547457230b4","Ange","Ingabire","aingabire@umuganda.rw","0780200001","VILLAGE_SOCIAL","City of Kigali > Gasabo > Kimironko > Bibare"
"5c1cf797-8505-47c0-88e7-c6769d8bb046","Didier","Nzeyimana","dnzeyimana@umuganda.rw","0780200002","VILLAGE_SOCIAL","City of Kigali > Gasabo > Kimironko > Kibagabaga"
"866aa891-10eb-4635-892e-df7ff6f9b660","Jeanne","Dufatanye","jdufatanye@umuganda.rw","0780200003","VILLAGE_SOCIAL","City of Kigali > Gasabo > Remera > Nyabisindu"
"3a5879de-a963-48c3-8cc0-58aaa7e9a60b","Innocent","Ndayishimiye","indayi@umuganda.rw","0780200004","VILLAGE_SOCIAL","Northern Province > Musanze > Muhoza > Cyabararika"
"a60c97b9-c815-4793-b43d-9a2659452bbe","Alain","Mugisha","amugisha@umuganda.rw","0780300001","VILLAGER","City of Kigali > Gasabo > Kimironko > Bibare > Agakiriro"
"2a61c414-0d88-4bed-9d9f-84718e6735e5","Chantal","Uwera","cuwera@umuganda.rw","0780300002","VILLAGER","City of Kigali > Gasabo > Kimironko > Bibare > Inshuti"
"86c74031-69b8-4e0f-b262-be1520cf0da2","Eric","Hakizimana","ehakizi@umuganda.rw","0780300003","VILLAGER","City of Kigali > Gasabo > Kimironko > Kibagabaga > Igihozo"
"0c381969-cf33-42e9-a3da-83695acaab93","Fatuma","Niyonzima","fniyonzima@umuganda.rw","0780300004","VILLAGER","City of Kigali > Gasabo > Kimironko > Kibagabaga > Agasaro"
"168b1ad1-4ae0-471a-b386-b132df401dfe","Gaspard","Sendanyoye","gsendanyoye@umuganda.rw","0780300005","VILLAGER","City of Kigali > Gasabo > Remera > Nyabisindu > Ubumwe"
"95c87e95-47d2-4e4e-914a-9706115ae5cd","Honorine","Mukagasana","hmukagasana@umuganda.rw","0780300006","VILLAGER","City of Kigali > Gasabo > Remera > Nyabisindu > Amizero"
"6b7d03aa-be8d-46c8-ba7e-2519cb899a73","Ibrahim","Bakundukize","ibakundu@umuganda.rw","0780300007","VILLAGER","City of Kigali > Nyarugenge > Gitega > Nyamirambo > Agateka"
"10208dfe-011e-4056-bd1e-3225a43175b7","Joséphine","Nkurunziza","jnkurunziza@umuganda.rw","0780300008","VILLAGER","City of Kigali > Nyarugenge > Gitega > Nyamirambo > Kazungu"
"1cf0a9a5-a695-4a0d-8832-fae3ab346e94","Kevin","Rudahunga","krudahunga@umuganda.rw","0780300009","VILLAGER","Northern Province > Musanze > Muhoza > Cyabararika > Icyerekezo"
"d99b8bea-db39-4fef-b0a1-7550e5d9ca94","Laetitia","Musabyimana","lmusabyimana@umuganda.rw","0780300010","VILLAGER","Northern Province > Musanze > Muhoza > Cyabararika > Inzira"
"318bb169-0e67-4f8b-8c3f-23b260f29dd9","Marcel","Niyonsenga","mniyonsenga@umuganda.rw","0780300011","VILLAGER","Southern Province > Huye > Ngoma > Butare > Gasharu"
"8bb7eb2d-afbf-46cf-be4d-c82d25f48440","Nadine","Uwimana","nuwimana@umuganda.rw","0780300012","VILLAGER","Southern Province > Huye > Ngoma > Butare > Rugando"
